index,Measuring_Station_ID,Location,Road_Name,Road,Air_Temperature,Wind_Speed,Wind_Direction,Precipitation_Type,Precipitation_Intensity,Road_Surface_Temperature,Dew_point,Road_Surface_Condition,Friction,Date,Time
0,7032,KIZ_A1_51.82-KOS,Vilnius–Kaunas–Klaipėda,A1,5.9,4.4,Vakarų,Nėra,0.0,6.7,2.36,Sausa,0.82,2023-11-13,15:17:18
1,6950,KIZ_A1_70.29-KOS,Vilnius–Kaunas–Klaipėda,A1,5.8,6.3,Vakarų,Nėra,0.0,7.0,2.62,Sausa,0.82,2023-11-13,15:17:16
2,7012,KIZ_A1_28.96,Vilnius–Kaunas–Klaipėda,A1,5.9,3.0,Pietvakarių,Nėra,0.0,5.4,3.06,Šlapia,0.77,2023-11-13,15:17:18
8,7081,KIZ_A1_91.35_KOS,Vilnius–Kaunas–Klaipėda,A1,5.8,2.9,Vakarų,Nėra,0.0,6.8,3.14,Drėgna,0.82,2023-11-13,15:17:23
10,6551,Ausieniškės,Vilnius–Kaunas–Klaipėda,A1,5.9,6.0,Pietvakarių,,,6.4,2.72,Sausa,0.82,2023-11-13,15:16:58
11,5351,Vilnius,Vilnius–Kaunas–Klaipėda,A1,5.4,1.2,Vakarų,Nėra,0.0,6.6,2.92,Sausa,0.82,2023-11-13,15:16:57
39,363,Raščiai,Vilnius–Kaunas–Klaipėda,A1,5.6,6.8,Pietvakarių,Migla,0.0,6.8,2.25,Sausa,0.82,2023-11-13,15:06:19
40,361,Kalnujai,Vilnius–Kaunas–Klaipėda,A1,5.8,5.1,Pietvakarių,,0.0,6.5,1.9,Sausa,0.82,2023-11-13,15:06:18
41,362,Viduklė,Vilnius–Kaunas–Klaipėda,A1,6.2,3.9,Pietvakarių,,0.0,7.5,2.65,Sausa,0.82,2023-11-13,15:06:19
42,367,Endriejavas,Vilnius–Kaunas–Klaipėda,A1,4.9,3.5,Vakarų,,0.0,5.3,2.26,Šlapia,0.69,2023-11-13,15:06:20
55,308,Vievis,Vilnius–Kaunas–Klaipėda,A1,5.7,3.8,Pietvakarių,Nėra,0.0,5.7,2.7,Šlapia,0.79,2023-11-13,15:15:29
58,310,IX fortas,Vilnius–Kaunas–Klaipėda,A1,5.5,4.3,Vakarų,"Lietus, silpnas",0.0,6.5,3.35,Šlapia,0.8,2023-11-13,15:15:30
100,1164,Didžiulio ež.,Vilnius–Kaunas–Klaipėda,A1,5.7,2.9,Vakarų,Nėra,0.0,6.7,2.52,Sausa,0.82,2023-11-13,15:15:00
122,1209,AMV,Vilnius–Kaunas–Klaipėda,A1,4.2,5.2,Pietvakarių,"Lietus, silpnas",0.3,5.0,2.23,Šlapia,0.72,2023-11-13,15:05:00
123,1208,Bačkonys,Vilnius–Kaunas–Klaipėda,A1,5.8,3.3,Šiaurės vakarų,Migla,0.0,6.9,2.79,Sausa,0.82,2023-11-13,15:15:00
124,1206,Babtai,Vilnius–Kaunas–Klaipėda,A1,6.4,4.3,Vakarų,Nėra,0.0,8.0,3.38,Sausa,0.82,2023-11-13,15:15:00
125,1204,Gargždai,Vilnius–Kaunas–Klaipėda,A1,6.5,3.0,Šiaurės vakarų,,,6.3,2.39,Sausa,0.82,2023-11-13,15:05:00
127,1201,Kvėdarna,Vilnius–Kaunas–Klaipėda,A1,4.7,5.2,Vakarų,Nėra,0.0,4.9,2.4,Šlapia,0.81,2023-11-13,15:05:00
