Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Barskūnai,5230,Paberžė–Barskūnai–Medžiukai,15,2023-11-14,00:00:00,negative,8,51.94,normal,positive,0,,normal
Vartai,A16,Vilnius–Prienai–Marijampolė,15,2023-11-14,00:00:00,positive,22,64.48,slow,negative,21,57.91,slow
Kibyšiai,133,Merkinė–Leipalingis,15,2023-11-14,00:00:00,positive,11,88.23,normal,negative,7,84.37,normal
Sirutėnai,4921,Sirutėnai–Juodiškis,15,2023-11-14,00:00:00,negative,1,55.8,heavy,positive,1,37.3,slow
Vaitkūnai,231,Vytinė–Vaitkuškis–Ukmergė,16,2023-11-14,00:00:00,positive,16,75.36,normal,negative,22,69.12,normal
Stebėkiai II,3022,Ramygala–Stebeikiai,15,2023-11-14,00:00:00,negative,2,80.75,normal,positive,0,,normal
Leliūnai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,negative,28,79.6,heavy,positive,34,78.28,heavy
Bartkuškis II,A2,Vilnius–Panevėžys,15,2023-11-14,00:00:00,negative,277,87.49,slow,positive,1,68.0,slow
Utena,208,Pietrytinis Utenos aplinkkelis,16,2023-11-14,00:00:00,positive,23,80.1,heavy,negative,40,80.09,heavy
Vilkaviškis,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-14,00:00:00,positive,28,81.11,normal,negative,22,83.65,normal
Dobrovolė,A4,Vilnius–Varėna–Gardinas,15,2023-11-14,00:00:00,positive,98,76.77,heavy,negative,109,78.79,normal
Ąžulomis,A15,Vilnius–Lyda,15,2023-11-14,00:00:00,negative,52,71.7,heavy,positive,65,70.7,heavy
Biruliškės,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,positive,488,91.4,normal,negative,702,91.11,normal
Upyna,4107,Upyna–Pagrybis–Kaltinėnai,15,2023-11-14,00:00:00,positive,0,,normal,negative,3,69.37,normal
Juodbūdis 2,3314,Klebiškis–Juodbūdis–Veiveriai,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Rūdninkai,176,Pirčiupiai–Jašiūnai,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Antalgė,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,negative,31,82.8,normal,positive,41,89.68,normal
Kybartai,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-14,00:00:00,positive,35,50.23,slow,negative,36,54.78,heavy
Karmazinai,108,Vievis–Maišiagala–Nemenčinė,15,2023-11-14,00:00:00,positive,27,83.14,normal,negative,31,90.43,normal
Pakalniškiai II,4207,Žemaičių Naumiestis–Teneniai–Pajūralis,15,2023-11-14,00:00:00,negative,1,35.8,slow,positive,0,,normal
Neravai,A4,Vilnius–Varėna–Gardinas,15,2023-11-14,00:00:00,positive,26,68.21,heavy,negative,25,68.04,heavy
Senasis Tarpupis,A4,Vilnius–Varėna–Gardinas,15,2023-11-14,00:00:00,positive,62,87.96,normal,negative,89,85.33,normal
Didžiuliai,3527,Didžiuliai–Stanioniai,15,2023-11-14,00:00:00,negative,2,58.85,heavy,positive,3,67.03,heavy
Kalibatas,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,positive,45,88.73,heavy,negative,45,75.53,heavy
Jiesia,130,Kaunas–Prienai–Alytus,15,2023-11-14,00:00:00,negative,84,72.78,normal,positive,89,70.92,normal
Varšauka,1214,Troškūnai–Laukagaliai–Traupis,15,2023-11-14,00:00:00,positive,1,64.2,normal,negative,0,,normal
Biruliškės 3,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Spanėnai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,negative,149,63.95,normal,positive,100,63.16,normal
Antkoptis,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,positive,101,103.92,heavy,negative,83,107.88,heavy
Truskava,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-14,00:00:00,positive,53,81.65,heavy,negative,54,74.95,heavy
Biruliškės 1,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,positive,306,95.98,heavy,negative,443,101.98,heavy
Antupiai,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-14,00:00:00,positive,57,77.04,normal,negative,45,74.64,normal
Kupsčiai,3520,Ilgižiai–Kupsčiai,15,2023-11-14,00:00:00,,0,0.0,0,,0,0.0,0
Gabšiai,146,Raseiniai–Šilinė,15,2023-11-14,00:00:00,negative,33,85.94,normal,positive,33,90.67,normal
Kiškoniai,2126,Pavydai–Pagryžuvys–Tytuvėnėliai,15,2023-11-14,00:00:00,positive,2,75.45,normal,negative,0,,normal
Karpiškiai,A4,Vilnius–Varėna–Gardinas,15,2023-11-14,00:00:00,negative,21,81.29,normal,positive,26,81.79,normal
Gaudžiai,203,Kuršėnų aplinkkelis,15,2023-11-14,00:00:00,negative,60,81.57,normal,positive,59,83.04,normal
Poškiškė,1709,Seredžius–Juodaičiai–Mituva–Keryvai,15,2023-11-14,00:00:00,positive,3,87.67,normal,negative,1,121.9,normal
Tarpučiai,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-14,00:00:00,positive,58,55.32,normal,negative,62,54.27,normal
Kairiai,A9,Panevėžys–Šiauliai,15,2023-11-14,00:00:00,negative,89,94.41,heavy,positive,88,96.0,heavy
Parudaminys,5228,Parudaminys–Rakonys–Tumosai,15,2023-11-14,00:00:00,negative,1,80.4,normal,positive,2,80.75,normal
Šeškiai,4605,Viešvėnai–Luokė–Upyna–Dirvonėnai,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Ausieniškės,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,positive,267,102.74,heavy,negative,307,106.46,heavy
