Measuring_Station_ID,Location,Road_Name,Road,Air_Temperature,Wind_Speed,Precipitation_Intensity,Road_Surface_Temperature,Dew_point,Road_Surface_Condition,Friction,Wind_Direction,Precipitation_Type,Date,Time
7331,"KOS A5 12,2 km",Kaunas–Marijampolė–Suvalkai,A5,4.5,3.6,0.0,5.1,3.31,Šlapia,0.82,,,2023-11-13,08:53:40
7332,"KOS A5 21,86 km",Kaunas–Marijampolė–Suvalkai,A5,4.4,4.7,0.09,5.2,3.37,Šlapia,0.81,Šiaurės vakarų,,2023-11-13,08:53:40
7334,"KOS A5 40,65 km",Kaunas–Marijampolė–Suvalkai,A5,4.5,6.6,0.46,5.0,3.31,Sausa,0.82,,,2023-11-13,08:53:41
7335,"KOS A5 44,48 km",Kaunas–Marijampolė–Suvalkai,A5,4.4,3.4,0.08,5.0,3.06,Sausa,0.82,,,2023-11-13,08:53:42
7336,"KOS A5 55,62 km",Kaunas–Marijampolė–Suvalkai,A5,5.1,4.1,0.0,6.0,2.95,Sausa,0.82,Vakarų,Nėra,2023-11-13,08:53:42
6950,KIZ_A1_70.29-KOS,Vilnius–Kaunas–Klaipėda,A1,4.8,6.4,0.0,5.2,3.61,Šlapia,0.8,Vakarų,Nėra,2023-11-13,09:01:55
7012,KIZ_A1_28.96,Vilnius–Kaunas–Klaipėda,A1,4.9,3.9,0.47,5.1,3.86,Šlapia,0.66,Pietvakarių,"Lietus, silpnas",2023-11-13,09:01:56
7032,KIZ_A1_51.82-KOS,Vilnius–Kaunas–Klaipėda,A1,4.6,3.9,0.0,5.5,3.26,Šlapia,0.68,Vakarų,Nėra,2023-11-13,08:55:06
7081,KIZ_A1_91.35_KOS,Vilnius–Kaunas–Klaipėda,A1,5.6,3.8,0.0,5.7,3.61,Drėgna,0.82,Vakarų,Nėra,2023-11-13,08:55:06
3481,Gruzdžiai,Šiauliai–Gruzdžiai–Naujoji Akmenė,154,5.2,2.7,0.0,,4.61,Šlapia,0.77,Šiaurės vakarų,"Lietus, silpnas",2023-11-13,08:52:05
3821,Dubos,Vilnius–Panevėžys,A2,5.6,2.5,0.34,6.1,4.86,Šlapia,0.79,Šiaurės vakarų,"Lietus, silpnas",2023-11-13,09:00:47
5210,Bernatoniai,Panevėžio aplinkkelis,A17,5.7,4.1,0.0,6.1,4.5,Šlapia,0.78,Vakarų,Nėra,2023-11-13,08:55:00
5351,Vilnius,Vilnius–Kaunas–Klaipėda,A1,4.9,1.6,0.0,6.1,4.17,Šlapia,0.76,Vakarų,"Lietus, silpnas",2023-11-13,08:55:04
5352,Vilijampolė,Kaunas–Marijampolė–Suvalkai,A5,5.3,4.6,0.0,6.3,3.48,Sausa,0.82,Vakarų,Nėra,2023-11-13,08:53:17
6551,Ausieniškės,Vilnius–Kaunas–Klaipėda,A1,5.0,5.9,,5.3,3.81,Šlapia,0.68,Pietvakarių,,2023-11-13,09:01:50
2727,Raudondvario pl.,Kaunas–Marijampolė–Suvalkai,A5,5.3,,,5.9,3.64,Sausa,0.82,,,2023-11-13,09:00:00
2903,Pyšna,Vilnius–Lyda,A15,4.5,1.3,,5.4,4.07,Šlapia,0.72,Pietvakarių,,2023-11-13,08:51:53
2902,Pastruikiškės,Šiauliai–Palanga,A11,5.5,4.4,0.33,5.4,3.99,Šlapia,0.76,Šiaurės,"Lietus, silpnas",2023-11-13,08:51:52
4021,Galvė,Vilniaus pietinis aplinkkelis,A19,5.0,3.9,,5.5,3.81,Šlapia,0.81,Vakarų,,2023-11-13,08:52:25
4001,Paluknys,Vilnius–Varėna–Gardinas,A4,4.6,,0.0,5.4,3.72,Šlapia,0.7,,Nėra,2023-11-13,08:52:25
2601,Levaniškiai,Ukmergė–Raguva–Nevėžis,174,5.6,4.8,,5.4,4.71,Šlapia,0.79,Vakarų,,2023-11-13,08:51:45
2522,Jakai į Klaipėdą 2,A01_304.760_02 (Jakų sankr.),0001090002,5.9,,,4.7,,Šlapia,0.73,,,2023-11-13,09:00:00
3941,Žemieji Svirnai,Radiškis–Anykščiai–Rokiškis,120,6.2,2.4,0.0,,4.2,Sausa,0.82,Pietvakarių,Nėra,2023-11-13,08:52:19
3961,Svirkančiai,Užventis–Tryškiai–Viekšniai,194,5.4,3.7,0.09,,4.81,Šlapia,0.8,Vakarų,,2023-11-13,08:52:24
3962,Linkuva,Pakruojis–Linkuva,151,5.0,5.3,0.27,5.0,3.81,Šlapia,0.79,Vakarų,"Lietus, silpnas",2023-11-13,08:52:24
3981,Verkšionys,Vievis–Maišiagala–Nemenčinė,108,4.8,,0.0,,4.07,Šlapia,0.78,,"Lietus, silpnas",2023-11-13,08:52:24
2582,Giedraičiai,Vilnius–Utena,A14,5.0,,0.0,,4.42,Šlapia,0.78,Pietvakarių,Nėra,2023-11-13,08:51:45
2501,Strėva,Vilnius–Prienai–Marijampolė,A16,4.5,1.8,3.74,5.3,3.92,Šlapia,0.72,Pietvakarių,"Lietus, silpnas",2023-11-13,08:51:44
2561,Pakumulšiai,Šiauliai–Palanga,A11,5.4,3.4,0.56,5.2,4.66,Šlapia,0.77,Vakarų,Dulksna,2023-11-13,08:51:45
2581,Grateliai,Kėdainiai–Šėta–Ukmergė,145,5.7,6.8,0.0,5.6,4.81,Drėgna,0.82,Pietvakarių,Nėra,2023-11-13,08:51:45
2481,Gudeliai,Vilnius–Varėna–Gardinas,A4,4.8,6.1,0.0,5.2,3.61,Šlapia,0.77,Vakarų,Nėra,2023-11-13,08:51:44
2281,Jakai į Vilnių 1,A01_304.760_07 (Jakų sankr.),0001090007,5.8,4.8,,5.4,3.48,Šlapia,0.75,Šiaurės vakarų,,2023-11-13,09:00:00
2301,Jakai į Klaipėdą 1,A01_304.760_02 (Jakų sankr.),0001090002,5.8,,,,,Šlapia,0.74,,,2023-11-13,09:00:00
2261,Jakai į Vilnių 2,A01_304.760_07 (Jakų sankr.),0001090007,5.9,,,,3.57,Šlapia,0.73,,,2023-11-13,09:00:00
989,Skirsnemunė,Kaunas–Jurbarkas–Šilutė–Klaipėda,141,5.2,4.9,0.0,5.3,4.16,Šlapia,0.69,Vakarų,Nėra,2023-11-13,08:53:52
1001,Šeduva,Panevėžys–Šiauliai,A9,5.8,4.2,0.0,5.7,3.97,Šlapia,0.81,Šiaurės vakarų,"Lietus, silpnas",2023-11-13,08:50:00
1061,Kybartai,Marijampolė–Kybartai–Kaliningradas,A7,4.0,4.3,0.0,3.8,2.97,Šlapia,0.81,Pietvakarių,Nėra,2023-11-13,08:50:00
1901,Kelmė,Ryga–Šiauliai–Tauragė–Kaliningradas,A12,5.8,4.3,,5.5,3.81,Sausa,0.82,Vakarų,,2023-11-13,08:50:52
2001,Mediniškiai,Smilgiai–Pakruojis,149,5.0,4.5,0.42,6.5,3.96,Šlapia,0.68,Šiaurės vakarų,"Lietus, silpnas",2023-11-13,08:51:00
987,Seredžius,Kaunas–Jurbarkas–Šilutė–Klaipėda,141,5.4,4.9,0.0,5.4,4.36,Drėgna,0.82,Vakarų,Nėra,2023-11-13,08:53:52
984,Šilutė,Kaunas–Jurbarkas–Šilutė–Klaipėda,141,5.7,2.1,0.0,6.8,4.19,Šlapia,0.71,Šiaurės,"Lietus, silpnas",2023-11-13,08:53:51
