roadNr,roadSegments,date
A14,"[{'direction': 'positive', 'startX': 581866.29, 'startY': 6071643.64, 'endX': 581881.02, 'endY': 6077023.75, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 102, 'averageSpeed': 67.23, 'trafficType': 'slow'}, {'direction': 'negative', 'startX': 581857.5, 'startY': 6071644.88, 'endX': 581881.02, 'endY': 6077023.75, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 249, 'averageSpeed': 75.99, 'trafficType': 'heavy'}]",2023-11-12T15:00:00.000+0000
A9,"[{'direction': 'positive', 'startX': 483849.82, 'startY': 6181239.45, 'endX': 474277.37, 'endY': 6183800.26, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 72, 'averageSpeed': 88.42, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 483849.82, 'startY': 6181239.45, 'endX': 474277.37, 'endY': 6183800.26, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 62, 'averageSpeed': 85.65, 'trafficType': 'normal'}]",2023-11-12T15:00:05.000+0000
A16,"[{'direction': 'positive', 'startX': 501859.87, 'startY': 6050847.17, 'endX': 499190.95, 'endY': 6053065.41, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 96, 'averageSpeed': 82.95, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 501859.87, 'startY': 6050847.17, 'endX': 495332.99, 'endY': 6054248.11, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 65, 'averageSpeed': 84.01, 'trafficType': 'normal'}]",2023-11-12T15:00:05.000+0000
2016,"[{'direction': 'positive', 'startX': 475339.87, 'startY': 6147494.06, 'endX': 470708.28, 'endY': 6152203.08, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 475339.87, 'startY': 6147494.06, 'endX': 470708.28, 'endY': 6152203.08, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:34.000+0000
A9,"[{'direction': 'positive', 'startX': 517831.84, 'startY': 6177621.21, 'endX': 514369.4, 'endY': 6177871.16, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 517831.84, 'startY': 6177621.21, 'endX': 514369.4, 'endY': 6177871.16, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:01:02.000+0000
2218,"[{'direction': 'positive', 'startX': 323507.11, 'startY': 6192635.24, 'endX': 320001.34, 'endY': 6194347.46, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 323507.11, 'startY': 6192635.24, 'endX': 320001.34, 'endY': 6194347.46, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:07.000+0000
A5,"[{'direction': 'negative', 'startX': 492071.47, 'startY': 6089181.47, 'endX': 489600.31, 'endY': 6086605.66, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 558, 'averageSpeed': 96.5, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 492435.82, 'startY': 6089349.5, 'endX': 489591.06, 'endY': 6086613.48, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 427, 'averageSpeed': 89.88, 'trafficType': 'normal'}]",2023-11-12T15:00:42.000+0000
4921,"[{'direction': 'positive', 'startX': 602004.98, 'startY': 6158027.02, 'endX': 601615.37, 'endY': 6158813.78, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 3, 'averageSpeed': 44.17, 'trafficType': 'slow'}, {'direction': 'negative', 'startX': 602004.98, 'startY': 6158027.02, 'endX': 601615.37, 'endY': 6158813.78, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
5207,"[{'direction': 'negative', 'startX': 592562.03, 'startY': 6081396.75, 'endX': 590315.09, 'endY': 6085391.25, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 6, 'averageSpeed': 69.68, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 592562.03, 'startY': 6081396.75, 'endX': 590315.09, 'endY': 6085391.25, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 8, 'averageSpeed': 72.71, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
A1,"[{'direction': 'negative', 'startX': 521829.44, 'startY': 6078529.62, 'endX': 513847.62, 'endY': 6082316, 'winterSpeed': 120, 'summerSpeed': 110, 'numberOfVehicles': 305, 'averageSpeed': 110.09, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 521835.25, 'startY': 6078541.01, 'endX': 513853.55, 'endY': 6082326.87, 'winterSpeed': 120, 'summerSpeed': 110, 'numberOfVehicles': 230, 'averageSpeed': 104.97, 'trafficType': 'heavy'}]",2023-11-12T15:00:00.000+0000
A2,"[{'direction': 'positive', 'startX': 550465.06, 'startY': 6129943.25, 'endX': 544438.05, 'endY': 6140440.26, 'winterSpeed': 130, 'summerSpeed': 110, 'numberOfVehicles': 69, 'averageSpeed': 85.63, 'trafficType': 'slow'}, {'direction': 'negative', 'startX': 550447.1, 'startY': 6129935.47, 'endX': 544418.44, 'endY': 6140436.15, 'winterSpeed': 130, 'summerSpeed': 110, 'numberOfVehicles': 117, 'averageSpeed': 94.09, 'trafficType': 'slow'}]",2023-11-12T15:00:59.000+0000
102,"[{'direction': 'negative', 'startX': 590638.77, 'startY': 6075253.22, 'endX': 594084.26, 'endY': 6078914.79, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 165, 'averageSpeed': 77.28, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 590638.77, 'startY': 6075253.22, 'endX': 594084.26, 'endY': 6078914.79, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 47, 'averageSpeed': 69.21, 'trafficType': 'normal'}]",2023-11-12T15:01:25.000+0000
A15,"[{'direction': 'negative', 'startX': 585035.26, 'startY': 6044077.55, 'endX': 586122.33, 'endY': 6034486.76, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 61, 'averageSpeed': 82.58, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 585035.26, 'startY': 6044077.55, 'endX': 586122.33, 'endY': 6034486.76, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 34, 'averageSpeed': 82.6, 'trafficType': 'normal'}]",2023-11-12T15:01:15.000+0000
122,"[{'direction': 'positive', 'startX': 612188.82, 'startY': 6202173.11, 'endX': 612148.85, 'endY': 6202180.41, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 23, 'averageSpeed': 85.3, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 612187.97, 'startY': 6202167.07, 'endX': 612148.85, 'endY': 6202180.41, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 13, 'averageSpeed': 88.7, 'trafficType': 'normal'}]",2023-11-12T15:01:16.000+0000
208,"[{'direction': 'positive', 'startX': 599891.42, 'startY': 6150409.11, 'endX': 599936.09, 'endY': 6150427.12, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 36, 'averageSpeed': 75.49, 'trafficType': 'heavy'}, {'direction': 'negative', 'startX': 599889.29, 'startY': 6150433.5, 'endX': 599936.09, 'endY': 6150427.12, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 26, 'averageSpeed': 74.55, 'trafficType': 'heavy'}]",2023-11-12T15:01:26.000+0000
1408,"[{'direction': 'positive', 'startX': 657350.69, 'startY': 6127673.75, 'endX': 657639.97, 'endY': 6126848.13, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 657350.69, 'startY': 6127673.75, 'endX': 657639.97, 'endY': 6126848.13, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 3, 'averageSpeed': 66.73, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
5014,"[{'direction': 'negative', 'startX': 538602.79, 'startY': 6008581.53, 'endX': 541585.25, 'endY': 5998044, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 538602.79, 'startY': 6008581.53, 'endX': 541585.25, 'endY': 5998044, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:02.000+0000
137,"[{'direction': 'positive', 'startX': 450032.23, 'startY': 6064560.87, 'endX': 447080.56, 'endY': 6079884.93, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 4, 'averageSpeed': 74.6, 'trafficType': 'heavy'}, {'direction': 'negative', 'startX': 450032.23, 'startY': 6064560.87, 'endX': 447132.19, 'endY': 6079793.88, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 5, 'averageSpeed': 75.9, 'trafficType': 'heavy'}]",2023-11-12T15:01:23.000+0000
3406,[],2023-11-12T15:01:22.000+0000
A10,"[{'direction': 'negative', 'startX': 523114.4, 'startY': 6185510.83, 'endX': 520972.06, 'endY': 6199441.85, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 81, 'averageSpeed': 81.52, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 523114.4, 'startY': 6185510.83, 'endX': 520972.06, 'endY': 6199441.85, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 60, 'averageSpeed': 85.51, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
A9,"[{'direction': 'negative', 'startX': 500375.84, 'startY': 6185017.89, 'endX': 483838.9, 'endY': 6181240.74, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 54, 'averageSpeed': 87.51, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 500375.84, 'startY': 6185017.89, 'endX': 483838.9, 'endY': 6181240.74, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 26, 'averageSpeed': 85.98, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
3011,"[{'direction': 'negative', 'startX': 539299.25, 'startY': 6158668.5, 'endX': 538990.87, 'endY': 6151994.97, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 539299.25, 'startY': 6158668.5, 'endX': 538990.87, 'endY': 6151994.97, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
165,"[{'direction': 'positive', 'startX': 364748.23, 'startY': 6138753.02, 'endX': 354498.78, 'endY': 6138425.08, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 16, 'averageSpeed': 90.17, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 364748.23, 'startY': 6138753.02, 'endX': 354498.78, 'endY': 6138425.08, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 19, 'averageSpeed': 83.83, 'trafficType': 'normal'}]",2023-11-12T15:01:30.000+0000
3512,"[{'direction': 'negative', 'startX': 439109.24, 'startY': 6135865.73, 'endX': 426480.56, 'endY': 6131159.2, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 439109.24, 'startY': 6135865.73, 'endX': 426480.56, 'endY': 6131159.2, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:07.000+0000
196,"[{'direction': 'positive', 'startX': 464997.53, 'startY': 6127209.66, 'endX': 450426.22, 'endY': 6132072.23, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 6, 'averageSpeed': 84.32, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 464997.53, 'startY': 6127209.66, 'endX': 450426.22, 'endY': 6132072.23, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 6, 'averageSpeed': 87.48, 'trafficType': 'normal'}]",2023-11-12T15:01:29.000+0000
A5,"[{'direction': 'negative', 'startX': 479659.43, 'startY': 6065543.35, 'endX': 462819.29, 'endY': 6054895.3, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 26, 'averageSpeed': 105.76, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 479659.43, 'startY': 6065543.35, 'endX': 462819.29, 'endY': 6054895.3, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 90, 'averageSpeed': 96.98, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
A7,"[{'direction': 'positive', 'startX': 420015.61, 'startY': 6056511.85, 'endX': 419098.58, 'endY': 6056858.18, 'winterSpeed': 50, 'summerSpeed': 50, 'numberOfVehicles': 9, 'averageSpeed': 24.5, 'trafficType': 'slow'}, {'direction': 'negative', 'startX': 420015.61, 'startY': 6056511.85, 'endX': 419098.58, 'endY': 6056858.18, 'winterSpeed': 50, 'summerSpeed': 50, 'numberOfVehicles': 3, 'averageSpeed': 28.73, 'trafficType': 'slow'}]",2023-11-12T15:00:05.000+0000
4521,"[{'direction': 'positive', 'startX': 408475.12, 'startY': 6139727.1, 'endX': 406487.33, 'endY': 6134817.19, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 408475.12, 'startY': 6139727.1, 'endX': 406487.33, 'endY': 6134817.19, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:54.000+0000
