Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Kryžiškės,202,Vaidotai–Baltoji Vokė,15,2023-11-15,09:01:23,positive,22,61.44,slow,negative,22,75.32,heavy
Vartai,A16,Vilnius–Prienai–Marijampolė,15,2023-11-15,09:00:00,positive,0,,normal,negative,40,51.38,slow
Gojus,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,0,,normal,positive,0,,normal
Gluobiai,3802,Miknaičiai–Slavikai–Kiduliai,15,2023-11-15,09:00:17,negative,3,67.27,normal,positive,0,,normal
Šilainėliai,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-15,09:00:00,positive,0,,normal,negative,0,,normal
Nirtaičiai,148,Raseiniai–Tytuvėnai–Radviliškis,15,2023-11-15,09:01:38,positive,9,82.33,normal,negative,15,94.47,normal
Vandžiogala,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-15,09:00:28,negative,60,77.46,heavy,positive,59,82.36,heavy
Palkabalis,5014,Varėna–Rudnia–Katra,15,2023-11-15,09:00:00,negative,2,64.1,normal,positive,2,67.9,normal
Lyta,103,Vilnius–Polockas,15,2023-11-15,09:01:23,positive,0,,normal,negative,0,,normal
Ausieniškės,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,305,103.24,heavy,negative,303,108.54,normal
Endriejavas,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,85,97.72,heavy,negative,80,103.07,heavy
Gelnai,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-15,09:00:00,negative,55,83.01,normal,positive,69,79.76,heavy
Švendubrė,A4,Vilnius–Varėna–Gardinas,15,2023-11-15,09:00:00,positive,4,64.48,slow,negative,7,79.53,heavy
Šilinė,114,Molėtai–Kaltanėnai–Ignalina,15,2023-11-15,09:00:39,positive,10,70.7,normal,negative,13,74.05,normal
Leliūnai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:01:20,negative,23,80.99,heavy,positive,22,78.44,heavy
Smiltynė 3,A9,Panevėžys–Šiauliai,15,2023-11-15,09:00:50,negative,100,74.56,heavy,positive,97,73.15,heavy
Vabolės,162,Laukuva–Šilalė,15,2023-11-15,09:01:38,positive,27,86.09,normal,negative,28,84.59,normal
Maldeniai,4012,Drąsučiai–Šiupyliai–Gruzdžiai,15,2023-11-15,09:00:38,negative,1,77.9,normal,positive,1,67.8,normal
Antanuvka,1218,Kavarskas–Kurkliai,15,2023-11-15,09:00:00,negative,0,,normal,positive,1,41.8,slow
Kurys 2,A9,Panevėžys–Šiauliai,15,2023-11-15,09:00:40,positive,58,85.93,normal,negative,76,86.53,normal
Ratnyčia,A4,Vilnius–Varėna–Gardinas,15,2023-11-15,09:00:00,positive,8,82.15,heavy,negative,8,75.83,heavy
Utena,208,Pietrytinis Utenos aplinkkelis,15,2023-11-15,09:01:32,positive,52,79.59,heavy,negative,39,78.32,heavy
Ąžuolpamūšė,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-15,09:00:00,negative,0,,normal,positive,0,,normal
Aleksandrava,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:00:47,positive,32,87.05,normal,negative,53,85.33,normal
Pyšna,A15,Vilnius–Lyda,15,2023-11-15,09:01:18,negative,66,78.5,heavy,positive,52,78.89,heavy
Alksninė,172,Raudondvaris–Giedraičiai–Molėtai,15,2023-11-15,09:01:29,,0,0.0,0,,0,0.0,0
Gaižiūnai 2,124,Kupiškis–Vabalninkas–Biržai,15,2023-11-15,09:01:33,positive,14,96.09,normal,negative,17,81.45,normal
Kryžkalnis,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,64,105.45,heavy,negative,57,99.58,heavy
Gaigaliai,175,Pagojė–Sedeikiai–Viešintos–Nociūnai,15,2023-11-15,09:01:09,negative,12,89.91,normal,positive,7,80.11,heavy
Veiveriai,230,Mauručiai–Vinčai–Puskelniai,15,2023-11-15,09:00:08,negative,24,78.46,heavy,positive,17,73.93,heavy
Nemėžis,A3,Vilnius–Minskas,15,2023-11-15,09:01:13,positive,112,86.74,normal,negative,132,82.34,normal
Vaitkūnai,231,Vytinė–Vaitkuškis–Ukmergė,15,2023-11-15,09:01:38,negative,27,72.19,normal,positive,25,66.38,normal
Skrudėnai,108,Vievis–Maišiagala–Nemenčinė,16,2023-11-15,09:02:26,negative,15,79.78,heavy,positive,29,71.07,heavy
Vėžaičiai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,97,103.36,heavy,positive,84,102.05,heavy
Senieji Trakai,A16,Vilnius–Prienai–Marijampolė,15,2023-11-15,09:00:40,positive,57,77.3,normal,negative,89,73.11,normal
Vilkaviškis,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-15,09:00:00,positive,15,87.41,heavy,negative,20,74.06,heavy
Varšauka,1214,Troškūnai–Laukagaliai–Traupis,15,2023-11-15,09:00:00,negative,0,,normal,positive,0,,normal
Piliakalniai,1506,Satkūnai–Panoteriai–Jasudai,15,2023-11-15,09:00:08,positive,0,,normal,negative,3,50.57,slow
Mažonai,4513,Mažonai–Šakvietis–Šilalė,15,2023-11-15,09:00:39,negative,2,53.05,heavy,positive,1,65.2,heavy
Pažagieniai,A2,Vilnius–Panevėžys,15,2023-11-15,09:00:40,negative,0,,normal,positive,0,,normal
Ilgakiemis,1832,Ilgakiemis–Kasčiukiškės,15,2023-11-15,09:00:00,positive,0,,normal,negative,2,60.7,heavy
Pesčiai,226,Kartena–Kūlupėnai–Salantai,15,2023-11-15,09:01:42,negative,13,90.15,normal,positive,15,92.14,normal
Libariškis,151,Pakruojis–Linkuva,15,2023-11-15,09:01:38,positive,33,84.91,normal,negative,28,84.74,normal
Mūšia,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:01:08,positive,58,49.99,slow,negative,60,49.08,slow
KurėnaiII,A2,Vilnius–Panevėžys,15,2023-11-15,09:00:45,negative,95,90.61,slow,positive,69,86.29,slow
Bubiai 2,215,Bubiai–Ramučiai,15,2023-11-15,09:01:38,positive,16,75.1,heavy,negative,15,76.97,heavy
Mitkūnai,1611,Plikiškiai–Kriukai,15,2023-11-15,09:00:38,negative,1,91.4,normal,positive,3,91.23,normal
Rokiškis,122,Daugpilis–Rokiškis–Panevėžys,15,2023-11-15,09:01:09,negative,24,89.89,normal,positive,15,84.4,normal
Paprėniškiai,115,Ukmergė–Molėtai,15,2023-11-15,09:01:08,positive,26,84.83,normal,negative,22,85.97,normal
